Product,Category,Date,Month,Hour,Department,ip,url
adidas Brazuca 2017 Official Match Ball,baseball & softball,9/1/2017 6:00,Sep,6,fitness ,37.97.182.65,/department/fitness/category/baseball%20&%20softball/product/adidas%20Brazuca%202017%20Official%20Match%20Ball
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:00,Sep,6,fan shop ,206.56.112.1,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:00,Sep,6,apparel ,215.143.180.0,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
Under Armour Men's Compression EV SL Slide,electronics,9/1/2017 6:00,Sep,6,footwear ,206.56.112.1,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide
Pelican Sunstream 100 Kayak,water sports,9/1/2017 6:01,Sep,6,fan shop ,136.108.56.242,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak
Team Golf Tennessee Volunteers Putter Grip,accessories,9/1/2017 6:02,Sep,6,outdoors ,116.202.25.156,/department/outdoors/category/accessories/product/Team%20Golf%20Tennessee%20Volunteers%20Putter%20Grip
The North Face Women's Recon Backpack,hunting & shooting,9/1/2017 6:02,Sep,6,fan shop ,131.132.236.70,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
Diamondback Boys' Insight 24 Performance Hybr,basketball,9/1/2017 6:02,Sep,6,fitness ,30.175.101.147,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr/add_to_cart
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:03,Sep,6,golf ,206.56.112.1,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:03,Sep,6,apparel ,171.218.47.35,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,9/1/2017 6:03,Sep,6,golf ,57.209.125.46,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
Under Armour Women's Micro G Skulpt Running S,boxing & mma,9/1/2017 6:03,Sep,6,footwear ,34.175.52.9,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S/add_to_cart
Perfect Fitness Perfect Rip Deck,cleats,9/1/2017 6:04,Sep,6,apparel ,67.207.60.176,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
adidas Kids' RG III Mid Football Cleat,featured shops,9/1/2017 6:05,Sep,6,apparel ,26.26.6.78,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
